Virus,Host,Score
NC_001271|1,NC_009445|1,47
NC_001271|1,NC_009445|1,43
NC_001271|1,NC_009445|1,42
NC_001271|1,NC_009445|1,42
NC_002703|1,NC_002662|1,9947
NC_002703|1,NC_002662|1,3064
NC_002703|1,NC_002662|1,2515
NC_002703|1,NC_002662|1,2000
NC_002703|1,NC_002662|1,1792
NC_002703|1,NC_002662|1,1423
NC_002703|1,NC_002662|1,1399
NC_002703|1,NC_002662|1,1119
NC_002703|1,NC_002662|1,1046
NC_002703|1,NC_002662|1,857
NC_002703|1,NC_002662|1,804
NC_002703|1,NC_002662|1,797
NC_002703|1,NC_002662|1,693
NC_002703|1,NC_002662|1,623
NC_002703|1,NC_002662|1,531
NC_002703|1,NC_002662|1,523
NC_002703|1,NC_002662|1,509
NC_002703|1,NC_002662|1,499
NC_002703|1,NC_002662|1,449
NC_002703|1,NC_002662|1,440
NC_002703|1,NC_002662|1,364
NC_002703|1,NC_002662|1,335
NC_002703|1,NC_002662|1,315
NC_002703|1,NC_002662|1,315
NC_002703|1,NC_002662|1,295
NC_002703|1,NC_002662|1,261
NC_002703|1,NC_002662|1,247
NC_002703|1,NC_002662|1,245
NC_002703|1,NC_002662|1,230
NC_002703|1,NC_002662|1,188
NC_002703|1,NC_002662|1,182
NC_002703|1,NC_002662|1,175
NC_002703|1,NC_002662|1,173
NC_002703|1,NC_002662|1,172
NC_002703|1,NC_002662|1,131
NC_002703|1,NC_002662|1,123
NC_002703|1,NC_002662|1,122
NC_002703|1,NC_002662|1,113
NC_002703|1,NC_002662|1,95
NC_002703|1,NC_002662|1,94
NC_002703|1,NC_002662|1,93
NC_002703|1,NC_002662|1,93
NC_002703|1,NC_002662|1,91
NC_002703|1,NC_002662|1,87
NC_002703|1,NC_002662|1,86
NC_002703|1,NC_002662|1,81
NC_002703|1,NC_002662|1,79
NC_002703|1,NC_002662|1,77
NC_002703|1,NC_002662|1,77
NC_002703|1,NC_002662|1,75
NC_002703|1,NC_002662|1,74
NC_002703|1,NC_002662|1,74
NC_002703|1,NC_002662|1,66
NC_002703|1,NC_002662|1,64
NC_002703|1,NC_002662|1,63
NC_002703|1,NC_002662|1,60
NC_002703|1,NC_002662|1,58
NC_002703|1,NC_002662|1,58
NC_002703|1,NC_002662|1,57
NC_002703|1,NC_002662|1,56
NC_002703|1,NC_002662|1,55
NC_002703|1,NC_002662|1,53
NC_002703|1,NC_002662|1,53
NC_002703|1,NC_002662|1,52
NC_002703|1,NC_002662|1,52
NC_002703|1,NC_002662|1,50
NC_002703|1,NC_002662|1,50
NC_002703|1,NC_002662|1,50
NC_002703|1,NC_002662|1,47
NC_002703|1,NC_002662|1,47
NC_002703|1,NC_002662|1,47
NC_002703|1,NC_002662|1,46
NC_002703|1,NC_002662|1,45
NC_002703|1,NC_002662|1,44
NC_002703|1,NC_002662|1,43
NC_002703|1,NC_002662|1,43
NC_002703|1,NC_002662|1,43
NC_002703|1,NC_002662|1,43
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_002703|1,NC_002662|1,42
NC_004303|1,NC_002662|1,1820
NC_004303|1,NC_002662|1,246
NC_004303|1,NC_002662|1,212
NC_004303|1,NC_002662|1,143
NC_004303|1,NC_002662|1,125
NC_004303|1,NC_002662|1,89
NC_004303|1,NC_002662|1,51
NC_004303|1,NC_002662|1,50
NC_004303|1,NC_002662|1,45
NC_004303|1,NC_002662|1,42
NC_001825|1,NC_008527|1,60
NC_001825|1,NC_008527|1,50
NC_001825|1,NC_008527|1,43
NC_001825|1,NC_008527|1,41
NC_001825|1,NC_008527|1,41
NC_003288|1,NC_009674|1,89
NC_003288|1,NC_009674|1,45
NC_003288|1,NC_009674|1,45
NC_003288|1,NC_009674|1,44
NC_003288|1,NC_009674|1,44
NC_003288|1,NC_009674|1,44
NC_003288|1,NC_009674|1,44
NC_003288|1,NC_009674|1,43
NC_003288|1,NC_009674|1,43
NC_003288|1,NC_009674|1,43
NC_003288|1,NC_009674|1,43
NC_003288|1,NC_009674|1,42
