Virus,Host,blastScore,crisprScore,mashScore,wishScore
NC_000866,NC_004337,354.0,NaN,0.517779,-1.40928
NC_000866,NC_004741,354.0,NaN,0.517779,-1.40891
NC_000866,NC_007384,354.0,NaN,0.517779,-1.41313
NC_000866,NC_007613,354.0,NaN,0.517779,-1.41561
NC_000866,NC_007946,354.0,NaN,0.517779,-1.39757
NC_000866,NC_008258,354.0,NaN,0.517779,-1.40874
NC_000866,NC_008563,354.0,NaN,0.517779,-1.39799
NC_000866,NC_009800,354.0,NaN,0.517779,-1.40154
NC_000866,NC_010468,354.0,NaN,0.517779,-1.3999
NC_000866,NC_010658,354.0,NaN,0.517779,-1.41858
NC_000866,NC_011415,354.0,NaN,0.517779,-1.39951
NC_000866,NC_011601,354.0,NaN,0.517779,-1.39894
NC_000866,NC_011741,354.0,NaN,0.517779,-1.3992
NC_000866,NC_011742,354.0,NaN,0.517779,-1.39881
NC_000866,NC_011993,354.0,NaN,0.517779,-1.39965
NC_000866,NC_012892,354.0,NaN,0.517779,-1.401
NC_000866,NC_012947,354.0,NaN,0.517779,-1.40077
NC_000866,NC_012967,354.0,NaN,0.517779,-1.40039
NC_000866,NC_012971,354.0,NaN,0.517779,-1.401
NC_000866,NC_013353,354.0,NaN,0.517779,-1.39793
NC_000866,NC_013361,354.0,NaN,0.517779,-1.39787
NC_000866,NC_013364,354.0,NaN,0.517779,-1.39786
NC_000866,NC_013654,354.0,NaN,0.517779,-1.4001
NC_000866,NC_016822,354.0,NaN,0.517779,-1.41159
NC_000866,NC_017328,354.0,NaN,0.517779,-1.40859
NC_000866,NC_017626,354.0,NaN,0.517779,-1.39645
NC_000866,NC_017628,354.0,NaN,0.517779,-1.39875
NC_000866,NC_017632,354.0,NaN,0.517779,-1.39754
NC_000866,NC_017634,354.0,NaN,0.517779,-1.39958
NC_000866,NC_017644,354.0,NaN,0.517779,-1.40367
NC_000866,NC_020163,354.0,NaN,0.517779,-1.39885
NC_000866,NC_022370,354.0,NaN,0.517779,-1.39909
NC_000866,NC_022648,354.0,NaN,0.517779,-1.39998
NC_000866,NC_014497,NaN,NaN,0.5507850000000001,-1.38407
NC_000866,NC_017331,NaN,NaN,NaN,-1.34488
# Std,,0.0,NaN,0.006,0.011
NC_000871,NC_017595,10580.0,NaN,0.6380399999999999,-1.35935
NC_000871,NC_008532,128.0,31.0,0.484772,-1.3675
NC_000871,NC_017595,10580.0,NaN,0.6380399999999999,-1.35935
NC_000871,NC_017595,10580.0,NaN,0.6380399999999999,-1.35935
# Std,,4525.849,0.0,0.066,0.004
NC_000872,NC_017595,10878.0,NaN,0.652678,-1.35864
NC_000872,NC_006448,80.0,30.0,0.537086,-1.36507
NC_000872,NC_006449,80.0,30.0,0.517779,-1.36508
NC_000872,NC_017563,1998.0,NaN,0.666021,-1.36568
NC_000872,NC_017595,10878.0,NaN,0.652678,-1.35864
# Std,,5025.748,0.0,0.064,0.003
NC_000896,NC_017477,942.0,NaN,0.517779,-1.34367
NC_000896,NC_008530,904.0,NaN,0.537086,-1.34421
