Virus,Spacer,index,Score
NC_002214|1,NC_006449,38606,148
NC_002185|1,NC_006448,35130,144
NC_000872|1,NC_006449,30918,116
NC_004584|1,NC_008021,3927,70
NC_004585|1,NC_008021,3919,68
NC_000871|1,NC_008532,6658,61
NC_003085|1,NC_008095,5325,37
NC_003278|1,NC_008463,6736,32
NC_003157|1,NC_002737,7777,30
NC_002072|1,NC_006449,7713,28
NC_003216|1,NC_003212,2802,28
NC_004303|1,NC_006448,7035,28
